The risk of sustained sexual transmission of Zika is underestimated,['Samuel V. Scarpino', 'Ben Althouse', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Epidemiological and economic effects of priming with the whole-cell Bordetella pertussis vaccine,['Samuel V. Scarpino', 'Ben Althouse']
The timing and targeting of treatment in influenza pandemics influences the emergence of resistance in structured populations,['Oscar Patterson-Lomba', 'Ben Althouse']
Analysis of clinical Bordetella pertussis isolates using whole genome sequences reveals novel genomic regions associated with recent outbreaks in the United States of America,['Samuel V. Scarpino', 'Ben Althouse']
Automated collection of pathogen-specific diagnostic data for real-time syndromic epidemiological studies,['Samuel V. Scarpino', 'Ben Althouse']
Optimizing treatment regimes to hinder antiviral resistance in influenza across time scales,['Oscar Patterson-Lomba', 'Ben Althouse', 'Laurent Hébert-Dufresne']
Uncovering the hidden cost of bed bugs,['Samuel V. Scarpino', 'Ben Althouse']
Modeling the Effects of Priming With the Whole-Cell Bordetella Pertussis Vaccine—Reply,['Samuel V. Scarpino', 'Ben Althouse']
Automated real-time collection of pathogen-specific diagnostic data: Syndromic infectious disease epidemiology,['Samuel V. Scarpino', 'Ben Althouse']
Enhancing disease surveillance with novel data streams: challenges and opportunities,['Samuel V. Scarpino', 'Ben Althouse', 'Laurent Hébert-Dufresne']
GOOGLE SEARCHES ACCURATELY FORECAST RESPIRATORY SYNCYTIAL VIRUS HOSPITALIZATIONS,['Samuel V. Scarpino', 'Ben Althouse']
Epidemiological consequences of an ineffective Bordetella pertussis vaccine,['Samuel V. Scarpino', 'Ben Althouse']
Testing modeling assumptions in the West Africa Ebola outbreak,['CJO Verzijl', 'Binyang Song', 'Matthew C. Ingram', 'Keith Burghardt']
Complex dynamics of synergistic coinfections on realistically clustered networks,['Ben Althouse', 'Laurent Hébert-Dufresne']
Community Engagement during outbreak response: standards, approaches, and lessons from the 2014-2016 Ebola outbreak in Sierra Leone,['Ben Althouse', 'Laurent Hébert-Dufresne']
Coexistence of phases and the observability of random graphs,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Physical Review X,['Lucas Lacasa', 'Laurent Hébert-Dufresne']
Percolation on random networks with arbitrary k-core structure,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Epidemic cycles driven by host behaviour,['Ben Althouse', 'Laurent Hébert-Dufresne']
Dynamics of beneficial epidemics,['Andrew Berdahl', 'Laurent Hébert-Dufresne', 'Vanessa Ferdinand']
Global efficiency of local immunization on complex networks,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Network archaeology: phase transition in the recoverability of network history,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne']
Finite-size analysis of the detectability limit of the stochastic block model,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne']
The effect of a prudent adaptive behaviour on disease transmission,['Samuel V. Scarpino', 'Laurent Hébert-Dufresne', 'Antoine Allard']
General and exact approach to percolation on random graphs,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
A shadowing problem in the detection of overlapping communities: Lifting the resolution limit through a cascading procedure,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne']
Complex networks as an emerging property of hierarchical preferential attachment,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Strategic tradeoffs in competitor dynamics on adaptive networks,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Efficient sampling of spreading processes on complex networks using a composition and rejection algorithm,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne']
Constrained growth of complex scale-independent systems,['Jean-Gabriel Young', 'Laurent Hébert-Dufresne', 'Antoine Allard']
Edge fires drive the shape and stability of tropical forests,['Andrew Berdahl', 'Laurent Hébert-Dufresne']
Standing on the shoulders of giants?—Faculty hiring in information schools,['Kang Zhao', 'Zhiya Zuo']
The Evolution and Diffusion of User Roles in Online Health Communities: A Social Support Perspective,['Kang Zhao', 'Zhiya Zuo']
Systematic investigation of sex disparity in multidisciplinary institutions–a case study of US iSchools,['Kang Zhao', 'Zhiya Zuo']
Collaboration matters: Faculty hiring in information school,['Kang Zhao', 'Zhiya Zuo']
A Graphical Model for Topical Impact over Time,['Kang Zhao', 'Zhiya Zuo']
Modelling supply chain adaptation for disruptions: An empirically grounded complex adaptive systems approach,['Kang Zhao', 'Zhiya Zuo']
Understanding the Field of Public Affairs through the Lens of Ranked Ph. D. Programs in the United States,['Kang Zhao', 'Zhiya Zuo']
The state and evolution of US iSchools: From talent acquisitions to research outcome,['Kang Zhao', 'Zhiya Zuo']
The more multidisciplinary the better?–The prevalence and interdisciplinarity of research collaborations in multidisciplinary institutions,['Kang Zhao', 'Zhiya Zuo']
Thinking in Public about Public Affairs: Rejoinder,['Kang Zhao', 'Zhiya Zuo']
Research Collaborations in Multidisciplinary Institutions: a Case Study of iSchools,['Kang Zhao', 'Zhiya Zuo']
Predicting User Participation and Detecting User Role Diffusion in Online Health Communities,['Kang Zhao', 'Zhiya Zuo']
Effects of simulated brain damage on small-world neural networks,["Vikas O'Reilly-Shah", 'Michael Wojnowicz', 'Natasha Qaisar', 'Kristen Fortney']
Universal scaling across biochemical networks on Earth,['Harrison B. Smith', 'Cole Mathis']
Assembling thefacebook: Using heterogeneity to understand online social network assembly,['Samuel F. Way', 'Abigail Z. Jacobs']
The SIB Swiss Institute of Bioinformatics’ resources: focus on curated databases,['Joshua L. Payne', 'Kathleen Sprouffske', 'José Aguilar-Rodríguez']
High mutation rates limit evolutionary adaptation in Escherichia coli,['Kathleen Sprouffske', 'José Aguilar-Rodríguez']
Genome sequence of the pea aphid Acyrthosiphon pisum,['Ximo Pechuan Jorge', 'José Aguilar-Rodríguez']
A thousand empirical adaptive landscapes and their navigability,['Joshua L. Payne', 'José Aguilar-Rodríguez']
An Interview-Based Study of Pioneering Experiences in Teaching and Learning Complex Systems in Higher Education,['Joseph Lizier', 'Conor Finn']
Probability Mass Exclusions and the Directed Components of Mutual Information,['Joseph Lizier', 'Conor Finn']
Pointwise partial information decomposition using the specificity and ambiguity lattices,['Joseph Lizier', 'Conor Finn']
IDTxl: The Information Dynamics Toolkit xl: a Python package for the efficient analysis of multivariate information dynamics in networks,['Joseph Lizier', 'Conor Finn']
Quantifying Information Modification in Cellular Automata using Pointwise Partial Information Decomposition,['Joseph Lizier', 'Conor Finn']
Linking structure and function in food webs: maximization of different ecological functions generates distinct food web structures,['Reniel Cabral', 'Mauricio Cantor']
Nestedness across biological scales,['Flavia Maria Darcie Marquitti', 'Mauricio Cantor']
The effect of gossip on social networks,['Roozbeh Daneshvar', 'Allison K Shaw', 'Milena Tsvetkova']
Pathogens manipulate the preference of vectors, slowing disease spread in a multi‐host system,['Allison K Shaw', 'Lauren Shoemaker']
A communal catalogue reveals Earth’s multiscale microbial diversity,['Sean M. Gibbons', 'Nicole Scott']
Human and environmental impacts on river sediment microbial communities,['Sean M. Gibbons', 'Nicole Scott']
Longitudinal analysis of microbial interaction between humans and the indoor environment,['Sean M. Gibbons', 'Nicole Scott']
Energetic limits to economic growth,['Jordan G Okie', 'William R. Burnside', 'Wenyun Zuo', 'Marcus John Hamilton']
Macroecology meets macroeconomics: Resource scarcity and global sustainability,['Jordan G Okie', 'William R. Burnside', 'Marcus John Hamilton']
Supplementary Online Material for Energetic Limits to Economic Growth,['Jordan G Okie', 'William R. Burnside', 'Wenyun Zuo']
A network perspective for community assembly,['Lauren C. Ponisio', 'Marilia Palumbo Gaiarsa']
Opportunistic attachment assembles plant–pollinator networks,['Lauren C. Ponisio', 'Marilia Palumbo Gaiarsa']
Thresholding normally distributed data creates complex networks,['Alice C. Schwarze', 'George T. Cantwell', 'Benjamin F. Maier']
Host-parasite coevolution in populations of constant and variable size,['Chaitanya S. Gokhale', 'Yixian Song']
The macroecology of sustainability,['William R. Burnside', 'Wenyun Zuo']
Toward a Macroecology of Sustainability,['William R. Burnside', 'Wenyun Zuo']
Potential unsatisfiability of cyclic constraints on stochastic biological networks biases selection towards hierarchical architectures,['Ximo Pechuan Jorge', 'Cameron Ray Smith']
The MutSβ complex is a modulator of p53-driven tumorigenesis through its functions in both DNA double-strand break repair and mismatch repair,['Ximo Pechuan Jorge', 'Cameron Ray Smith']
Uncovering the drivers behind urban economic complexity and their connection to urban economic performance,['Oscar Patterson-Lomba', 'Andres Gomez-Lievano']
On the scaling patterns of infectious disease incidence in cities,['Oscar Patterson-Lomba', 'Andres Gomez-Lievano']
Per capita incidence of sexually transmitted infections increases systematically with urban population size: a cross-sectional study,['Oscar Patterson-Lomba', 'Andres Gomez-Lievano']
On the Scaling Patterns of Infectious Disease Incidence in Cities,['Oscar Patterson-Lomba', 'Andres Gomez-Lievano']
Explaining the prevalence, scaling and variance of urban phenomena,['Oscar Patterson-Lomba', 'Andres Gomez-Lievano']
Multiplex model of mental lexicon reveals explosive learning in humans,['Massimo Stella', 'Nicole Beckage']
Multiplex lexical networks reveal patterns in early word acquisition in children,['Massimo Stella', 'Nicole Beckage']
Hunting for keys to innovation: The diversity and mixing of occupations do not explain a city’s patent and economic productivity,['Andres Gomez-Lievano', 'Nicolas Goudemand']
The Effect of Gossip on Social Networks,['Roozbeh Daneshvar', 'Milena Tsvetkova']
Modeling the Coevolutionary Dynamics in the Lobaria pulmonaria Lichen Symbiosis,['Simon Carrignon', 'Salva Duran-Nebreda']
Opinion spreading and consensus formation on square lattice,['Jianguo liu', 'Zhi-Xi Wu (吴枝喜)']
Culture out of attitudes: Relationality, population heterogeneity and attitudes toward science and religion in the US,['Amir Goldberg', 'Hana Shepherd']
SYMP 8-1: A macroscopic view of human ecology,['William R. Burnside', 'Oskar Burger']
Human macroecology: linking pattern and process in big‐picture human ecology,['William R. Burnside', 'Oskar Burger', 'Marcus John Hamilton']
Thresholds, tipping and turning points for sustainability under climate change,['Stefan Pfenninger', 'Saskia Werners']
Turning points in climate change adaptation,['Stefan Pfenninger', 'Saskia Werners']
Patterns of maximum body size evolution in Cenozoic land mammals: eco-evolutionary processes and abiotic forcing,['Jordan G Okie', 'Marcus John Hamilton']
Population stability, cooperation, and the invasibility of the human species,['Oskar Burger', 'Marcus John Hamilton']
The trade-off between number and size of offspring in humans and other primates,['Oskar Burger', 'Marcus John Hamilton']
The Malthusian–Darwinian dynamic and the trajectory of civilization,['Jordan G Okie', 'Marcus John Hamilton']
The complex structure of hunter–gatherer social networks,['Oskar Burger', 'Marcus John Hamilton']
The evolution of maximum body size of terrestrial mammals,['Jordan G Okie', 'Marcus John Hamilton']
The maximum rate of mammal evolution,['Jordan G Okie', 'Marcus John Hamilton']
Industrial energy use and the human life history,['Oskar Burger', 'Marcus John Hamilton']
and Robert S. Walker,['Oskar Burger', 'Marcus John Hamilton']
The prey as patch model: optimal handling of resources with diminishing returns,['Oskar Burger', 'Marcus John Hamilton']
Science & Society,['Jordan G Okie', 'Marcus John Hamilton']
The UN medium population projection is an unstable equilibrium,['Oskar Burger', 'Marcus John Hamilton']
Lifetime reproductive effort in humans,['Oskar Burger', 'Marcus John Hamilton']
The complex dynamics of collaborative tagging,['Hana Shepherd', 'Valentin Robu', 'Harry Halpin']
Emergence of consensus and shared vocabularies in collaborative tagging systems,['Hana Shepherd', 'Valentin Robu', 'Harry Halpin']
The Berners-Lee hypothesis: power laws and group structure in Fli r,['Valentin Robu', 'Harry Halpin']
The Dynamics and Semantics of Collaborative Tagging.,['Valentin Robu', 'Harry Halpin']
Growing networks of overlapping communities with internal structure,['Jean-Gabriel Young', 'Antoine Allard']
Structural preferential attachment: Network organization beyond the link,['Laurent Hébert-Dufresne', 'Antoine Allard']
Multi-scale structure and topological anomaly detection via a new network statistic: The onion decomposition,['Laurent Hébert-Dufresne', 'Antoine Allard']
Bond percolation on a class of correlated and clustered random graphs,['Laurent Hébert-Dufresne', 'Antoine Allard']
Smeared phase transitions in percolation on real complex networks,['Laurent Hébert-Dufresne', 'Antoine Allard']
Percolation and the effective structure of complex networks,['Laurent Hébert-Dufresne', 'Antoine Allard']
Propagation dynamics on networks featuring complex topologies,['Laurent Hébert-Dufresne', 'Antoine Allard']
Exact solution of bond percolation on small arbitrary graphs,['Laurent Hébert-Dufresne', 'Antoine Allard']
The Social Zombie: Modelling undead outbreaks on social networks,['Laurent Hébert-Dufresne', 'Antoine Allard']
Modeling the dynamical interaction between epidemics on overlay networks,['Laurent Hébert-Dufresne', 'Antoine Allard']
On the accuracy of message-passing approaches to percolation in complex networks,['Laurent Hébert-Dufresne', 'Antoine Allard']
Spreading dynamics on complex networks: a general stochastic approach,['Laurent Hébert-Dufresne', 'Antoine Allard']
The rise of partisanship and super-cooperators in the US House of Representatives,['Marcus John Hamilton', 'Clio Andris']
A publish-subscribe model of genetic networks,['Duygu Balcan', 'Brett Calcott', 'Paul Hohenlohe']
Modeling the Role of Context Dependency in the Recognition and Manifestation of Entrepreneurial Opportunity,['Murad Mithani', 'Tomas Veloz']
Abstract 17426,['Hiroshi Ashikaga, MD, PhD', 'Joshua Garland']
Pulmonary Vein Isolation ‘Rewires’ Electrical Communications to Enhance Small-world Network Topology During Atrial Fibrillation,['Hiroshi Ashikaga, MD, PhD', 'Joshua Garland']
Yoav Kallus,['Andrew Berdahl', 'Joshua Garland', 'Vanessa Ferdinand']
Anatomy of leadership in collective behaviour,['Andrew Berdahl', 'Joshua Garland']
Social tipping points in animal societies,['Andrew Berdahl', 'Joshua Garland']
Unfolding History: Classification and analysis of written history as a complex system,['Luís F. Seoane', 'Joshua Garland']
What are we missing about animal social complexity?,['Joshua Garland', 'Vanessa Ferdinand']
Self-organisation of a learnable language: What happens when an alien language replicates through human brains,['Katrien Beuls', 'Vanessa Ferdinand']
Rethinking animal social complexity measures with the help of complex systems concepts,['Joshua Garland', 'Vanessa Ferdinand']
On the records,['Joshua Garland', 'Vanessa Ferdinand']
Direct, physically motivated derivation of triggering probabilities for spreading processes on generalized random networks,['Joshua L. Payne', 'Kameron Decker Harris']
Exact solutions for social and biological contagion models on mixed directed and undirected, degree-correlated random networks,['Joshua L. Payne', 'Kameron Decker Harris']
Direct, physically motivated derivation of the contagion condition for spreading processes on generalized random networks,['Joshua L. Payne', 'Kameron Decker Harris']
A system‐level model for the microbial regulatory genome,['Antoine Allard', 'Aaron N. Brooks']
The paradox of constant oceanic plastic debris: evidence for evolved microbial biodegradation?,['Salva Duran-Nebreda', 'Jordi Piñero']
